Path 1:
  1.0377, -7.7113, 2.8715, 1.0377, -7.7113, 2.8715
  1.0377, -7.7113, 2.8715, 1.0377, -7.7113, 2.8715
  1.0377, -7.7113, 2.8715, 1.0377, -7.7113, 2.8715
  1.0377, -7.7113, 2.8715, 1.0377, -7.7113, 2.8715
  0.8192, -7.6841, 2.8676, 1.0377, -7.7113, 2.8715
  0.8205, -7.5485, 2.8676, 1.0377, -7.7113, 2.8715
  0.9992, -7.5675, 2.8814, 0.9992, -7.5675, 2.8814
  0.9571, -7.7800, 2.8632, 0.9992, -7.5675, 2.8814
  0.9325, -7.6620, 2.8838, 0.9325, -7.6620, 2.8838
  0.9325, -7.6620, 2.8838, 0.9325, -7.6620, 2.8838
  0.9325, -7.6620, 2.8838, 0.9325, -7.6620, 2.8838
  0.9230, -7.5226, 2.8774, 0.9325, -7.6620, 2.8838
  0.9292, -7.7222, 2.8761, 0.9325, -7.6620, 2.8838
  0.8938, -7.6172, 2.8831, 0.9325, -7.6620, 2.8838
  1.0508, -7.6576, 2.8755, 0.9325, -7.6620, 2.8838
  0.9172, -7.5448, 2.8803, 0.9325, -7.6620, 2.8838
  0.9112, -7.6867, 2.8804, 0.9325, -7.6620, 2.8838
  0.9540, -7.5797, 2.8845, 0.9540, -7.5797, 2.8845

Path 4:
  -1.6283, -1.2874, 0.0478, -1.6283, -1.2874, 0.0478
  -2.0349, -0.8516, 0.1239, -2.0349, -0.8516, 0.1239
  -2.5594, -0.5346, 0.2568, -2.5594, -0.5346, 0.2568
  -2.8982, -0.1872, 0.4412, -2.8982, -0.1872, 0.4412
  -3.2132, 0.1726, 0.6907, -3.2132, 0.1726, 0.6907
  -3.5411, 0.5384, 0.9885, -3.5411, 0.5384, 0.9885
  -3.8984, 0.8469, 1.2346, -3.8984, 0.8469, 1.2346
  -3.8869, 1.2429, 1.5214, -3.8869, 1.2429, 1.5214
  -3.8383, 1.6605, 1.7720, -3.8383, 1.6605, 1.7720
  -3.8739, 1.9282, 1.8781, -3.8739, 1.9282, 1.8781
  -3.8772, 2.2586, 1.9392, -3.8772, 2.2586, 1.9392
  -3.8278, 2.4990, 1.9324, -3.8772, 2.2586, 1.9392
  -3.8042, 2.1460, 1.9311, -3.8772, 2.2586, 1.9392
